Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2411-il-1000000
Airfoil,naca2411-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,113.734
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2411-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.500,-0.7712,0.09876,0.09662,-0.0387,1.0000,0.0146
-15.250,-0.8289,0.08407,0.08178,-0.0474,1.0000,0.0144
-15.000,-0.8872,0.07008,0.06763,-0.0562,1.0000,0.0143
-14.750,-0.9347,0.05805,0.05543,-0.0644,1.0000,0.0142
-14.500,-0.9636,0.04839,0.04558,-0.0723,1.0000,0.0142
-14.250,-0.9775,0.04183,0.03885,-0.0783,1.0000,0.0142
-14.000,-0.9934,0.03672,0.03356,-0.0821,1.0000,0.0142
-13.750,-1.0053,0.03363,0.03033,-0.0824,1.0000,0.0143
-13.500,-1.0123,0.03185,0.02844,-0.0804,1.0000,0.0143
-13.250,-1.0213,0.03063,0.02711,-0.0764,1.0000,0.0144
-13.000,-1.0286,0.02954,0.02593,-0.0720,1.0000,0.0145
-12.750,-1.0328,0.02810,0.02435,-0.0682,1.0000,0.0146
-12.500,-1.0465,0.02584,0.02190,-0.0632,1.0000,0.0148
-12.250,-1.0472,0.02441,0.02035,-0.0594,1.0000,0.0150
-12.000,-1.0420,0.02335,0.01920,-0.0563,1.0000,0.0152
-11.750,-1.0331,0.02252,0.01830,-0.0536,1.0000,0.0154
-11.500,-1.0066,0.02162,0.01733,-0.0543,0.9988,0.0158
-11.250,-0.9771,0.02094,0.01658,-0.0555,0.9974,0.0161
-11.000,-0.9477,0.02016,0.01572,-0.0566,0.9958,0.0165
-10.750,-0.9175,0.01939,0.01485,-0.0578,0.9946,0.0170
-10.500,-0.8891,0.01861,0.01397,-0.0585,0.9929,0.0173
-10.250,-0.8608,0.01794,0.01320,-0.0591,0.9907,0.0176
-10.000,-0.8307,0.01737,0.01255,-0.0600,0.9887,0.0178
-9.750,-0.8040,0.01598,0.01102,-0.0608,0.9867,0.0184
-9.500,-0.7730,0.01522,0.01021,-0.0619,0.9853,0.0190
-9.250,-0.7402,0.01469,0.00965,-0.0633,0.9842,0.0195
-9.000,-0.7067,0.01421,0.00912,-0.0648,0.9834,0.0202
-8.750,-0.6822,0.01378,0.00864,-0.0643,0.9791,0.0207
-8.500,-0.6513,0.01332,0.00812,-0.0651,0.9768,0.0213
-8.250,-0.6184,0.01295,0.00770,-0.0662,0.9752,0.0217
-8.000,-0.5871,0.01211,0.00679,-0.0673,0.9736,0.0228
-7.750,-0.5530,0.01164,0.00631,-0.0688,0.9725,0.0239
-7.500,-0.5172,0.01126,0.00590,-0.0706,0.9716,0.0250
-7.250,-0.4878,0.01095,0.00556,-0.0709,0.9677,0.0260
-7.000,-0.4582,0.01046,0.00503,-0.0713,0.9635,0.0276
-6.750,-0.4261,0.01009,0.00466,-0.0723,0.9605,0.0297
-6.500,-0.3929,0.00981,0.00435,-0.0734,0.9580,0.0315
-6.250,-0.3663,0.00943,0.00398,-0.0731,0.9527,0.0349
-6.000,-0.3380,0.00921,0.00374,-0.0731,0.9472,0.0377
-5.750,-0.3072,0.00887,0.00341,-0.0737,0.9430,0.0424
-5.500,-0.2809,0.00870,0.00323,-0.0733,0.9361,0.0460
-5.250,-0.2529,0.00843,0.00298,-0.0733,0.9296,0.0521
-5.000,-0.2255,0.00823,0.00277,-0.0731,0.9227,0.0574
-4.750,-0.1984,0.00804,0.00258,-0.0728,0.9148,0.0636
-4.500,-0.1714,0.00784,0.00240,-0.0725,0.9069,0.0715
-4.250,-0.1444,0.00768,0.00223,-0.0722,0.8982,0.0803
-4.000,-0.1180,0.00751,0.00209,-0.0718,0.8890,0.0911
-3.750,-0.0911,0.00735,0.00194,-0.0715,0.8798,0.1047
-3.500,-0.0653,0.00718,0.00182,-0.0710,0.8690,0.1215
-3.250,-0.0391,0.00703,0.00170,-0.0705,0.8585,0.1401
-3.000,-0.0129,0.00690,0.00159,-0.0700,0.8474,0.1597
-2.750,0.0130,0.00677,0.00150,-0.0695,0.8352,0.1809
-2.500,0.0388,0.00665,0.00142,-0.0690,0.8227,0.2053
-2.250,0.0645,0.00653,0.00135,-0.0684,0.8099,0.2315
-2.000,0.0902,0.00643,0.00128,-0.0679,0.7967,0.2594
-1.750,0.1157,0.00634,0.00123,-0.0673,0.7828,0.2896
-1.500,0.1409,0.00624,0.00118,-0.0666,0.7680,0.3229
-1.250,0.1660,0.00615,0.00114,-0.0660,0.7531,0.3596
-1.000,0.1906,0.00601,0.00111,-0.0652,0.7378,0.4087
-0.750,0.2142,0.00583,0.00109,-0.0643,0.7218,0.4812
-0.500,0.2375,0.00564,0.00109,-0.0633,0.7057,0.5581
-0.250,0.2607,0.00550,0.00110,-0.0622,0.6893,0.6271
0.000,0.2835,0.00538,0.00112,-0.0610,0.6729,0.6931
0.250,0.3057,0.00526,0.00115,-0.0596,0.6564,0.7592
0.500,0.3278,0.00516,0.00119,-0.0581,0.6405,0.8217
0.750,0.3514,0.00510,0.00126,-0.0569,0.6242,0.8827
1.000,0.3830,0.00514,0.00135,-0.0574,0.6073,0.9289
1.250,0.4216,0.00527,0.00143,-0.0597,0.5899,0.9538
1.500,0.4613,0.00542,0.00151,-0.0622,0.5720,0.9667
1.750,0.4996,0.00558,0.00159,-0.0644,0.5551,0.9748
2.000,0.5329,0.00574,0.00168,-0.0655,0.5391,0.9824
2.250,0.5711,0.00588,0.00175,-0.0677,0.5227,0.9863
2.500,0.6080,0.00604,0.00183,-0.0697,0.5057,0.9906
2.750,0.6436,0.00620,0.00192,-0.0714,0.4885,0.9944
3.000,0.6829,0.00634,0.00199,-0.0739,0.4717,0.9976
3.250,0.7209,0.00649,0.00206,-0.0762,0.4521,1.0000
3.500,0.7424,0.00663,0.00213,-0.0749,0.4338,1.0000
3.750,0.7641,0.00677,0.00222,-0.0736,0.4184,1.0000
4.000,0.7859,0.00691,0.00231,-0.0723,0.4025,1.0000
