Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n2414-il-100000
Airfoil,n2414-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,47.7695
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n2414-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.4901,0.12030,0.11467,-0.0300,1.0000,0.1630
-11.000,-0.6812,0.07017,0.06439,-0.0629,1.0000,0.0947
-10.750,-0.7034,0.06566,0.05983,-0.0620,1.0000,0.0942
-10.500,-0.7291,0.06152,0.05560,-0.0597,1.0000,0.0937
-10.250,-0.7536,0.05737,0.05128,-0.0569,1.0000,0.0933
-10.000,-0.7749,0.05335,0.04700,-0.0536,1.0000,0.0932
-9.750,-0.7925,0.04955,0.04286,-0.0499,1.0000,0.0935
-9.500,-0.8061,0.04613,0.03898,-0.0460,1.0000,0.0943
-9.250,-0.8067,0.04314,0.03575,-0.0432,1.0000,0.0959
-9.000,-0.7905,0.04194,0.03469,-0.0417,1.0000,0.0984
-8.750,-0.7832,0.04001,0.03258,-0.0393,1.0000,0.1006
-8.500,-0.7777,0.03778,0.03001,-0.0366,1.0000,0.1031
-8.250,-0.7722,0.03563,0.02733,-0.0338,1.0000,0.1060
-8.000,-0.7587,0.03373,0.02537,-0.0321,1.0000,0.1092
-7.750,-0.7426,0.03259,0.02420,-0.0305,1.0000,0.1128
-7.500,-0.7282,0.03122,0.02253,-0.0286,1.0000,0.1173
-7.250,-0.7122,0.02969,0.02081,-0.0271,1.0000,0.1218
-7.000,-0.6940,0.02877,0.01990,-0.0257,1.0000,0.1268
-6.750,-0.6766,0.02780,0.01859,-0.0242,1.0000,0.1330
-6.500,-0.6569,0.02672,0.01766,-0.0232,1.0000,0.1390
-6.250,-0.6377,0.02597,0.01669,-0.0220,1.0000,0.1467
-6.000,-0.6172,0.02510,0.01594,-0.0211,1.0000,0.1544
-5.750,-0.5967,0.02444,0.01508,-0.0201,1.0000,0.1641
-5.500,-0.5761,0.02384,0.01462,-0.0193,1.0000,0.1740
-5.250,-0.5555,0.02324,0.01404,-0.0185,1.0000,0.1853
-5.000,-0.5348,0.02274,0.01352,-0.0177,1.0000,0.1984
-4.750,-0.5143,0.02234,0.01313,-0.0169,1.0000,0.2132
-4.500,-0.4938,0.02199,0.01282,-0.0162,1.0000,0.2294
-4.250,-0.4732,0.02165,0.01259,-0.0155,1.0000,0.2473
-4.000,-0.4270,0.02139,0.01249,-0.0197,0.9933,0.2767
-3.750,-0.3839,0.02109,0.01236,-0.0232,0.9853,0.3091
-3.500,-0.3413,0.02081,0.01225,-0.0265,0.9771,0.3459
-3.250,-0.2957,0.02055,0.01218,-0.0304,0.9699,0.3893
-3.000,-0.2584,0.02020,0.01210,-0.0325,0.9598,0.4321
-2.750,-0.2188,0.01992,0.01209,-0.0350,0.9507,0.4836
