Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n2414-il-1000000
Airfoil,n2414-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,103.693
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n2414-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.250,-1.1298,0.08491,0.08162,-0.0429,1.0000,0.0199
-18.000,-1.1553,0.07749,0.07409,-0.0469,1.0000,0.0199
-17.750,-1.1815,0.07006,0.06653,-0.0510,1.0000,0.0199
-17.500,-1.2057,0.06285,0.05919,-0.0551,1.0000,0.0200
-17.250,-1.2260,0.05617,0.05238,-0.0590,1.0000,0.0200
-17.000,-1.2413,0.05018,0.04627,-0.0627,1.0000,0.0201
-16.750,-1.2517,0.04505,0.04101,-0.0660,1.0000,0.0202
-16.500,-1.2577,0.04071,0.03656,-0.0687,1.0000,0.0204
-16.250,-1.2599,0.03715,0.03289,-0.0707,1.0000,0.0206
-16.000,-1.2595,0.03419,0.02983,-0.0721,1.0000,0.0208
-15.750,-1.2572,0.03174,0.02728,-0.0728,1.0000,0.0210
-15.500,-1.2531,0.02972,0.02516,-0.0729,1.0000,0.0212
-15.250,-1.2475,0.02806,0.02341,-0.0724,1.0000,0.0215
-15.000,-1.2401,0.02672,0.02199,-0.0715,1.0000,0.0217
-14.750,-1.2315,0.02560,0.02079,-0.0702,1.0000,0.0220
-14.500,-1.2211,0.02473,0.01984,-0.0687,1.0000,0.0222
-14.250,-1.2229,0.02346,0.01850,-0.0654,1.0000,0.0226
-14.000,-1.2227,0.02251,0.01749,-0.0617,1.0000,0.0229
-13.750,-1.2157,0.02176,0.01670,-0.0588,1.0000,0.0233
-13.500,-1.2065,0.02114,0.01604,-0.0561,1.0000,0.0237
-13.250,-1.1965,0.02060,0.01546,-0.0533,1.0000,0.0241
-13.000,-1.1862,0.02009,0.01490,-0.0505,1.0000,0.0245
-12.750,-1.1752,0.01961,0.01438,-0.0478,1.0000,0.0249
-12.500,-1.1634,0.01916,0.01387,-0.0452,1.0000,0.0253
-12.250,-1.1503,0.01876,0.01342,-0.0427,1.0000,0.0257
-12.000,-1.1298,0.01801,0.01262,-0.0420,0.9993,0.0263
-11.750,-1.1006,0.01731,0.01189,-0.0430,0.9979,0.0272
-11.500,-1.0696,0.01680,0.01136,-0.0441,0.9965,0.0281
-11.250,-1.0377,0.01637,0.01089,-0.0453,0.9952,0.0290
-11.000,-1.0047,0.01601,0.01048,-0.0467,0.9942,0.0298
-10.750,-0.9748,0.01528,0.00974,-0.0477,0.9927,0.0312
-10.500,-0.9448,0.01484,0.00929,-0.0485,0.9904,0.0324
-10.250,-0.9130,0.01447,0.00888,-0.0495,0.9885,0.0336
-10.000,-0.8807,0.01403,0.00841,-0.0507,0.9868,0.0348
-9.750,-0.8481,0.01354,0.00792,-0.0521,0.9853,0.0365
-9.500,-0.8139,0.01319,0.00756,-0.0536,0.9842,0.0382
-9.250,-0.7794,0.01282,0.00716,-0.0552,0.9833,0.0399
-9.000,-0.7448,0.01239,0.00675,-0.0568,0.9824,0.0422
-8.750,-0.7166,0.01211,0.00645,-0.0569,0.9782,0.0440
-8.500,-0.6857,0.01172,0.00606,-0.0577,0.9749,0.0464
-8.250,-0.6538,0.01138,0.00573,-0.0586,0.9719,0.0491
-8.000,-0.6238,0.01110,0.00543,-0.0590,0.9682,0.0515
-7.750,-0.5983,0.01077,0.00513,-0.0586,0.9618,0.0550
-7.500,-0.5699,0.01055,0.00488,-0.0586,0.9570,0.0579
-7.250,-0.5442,0.01023,0.00459,-0.0581,0.9509,0.0622
-7.000,-0.5176,0.01003,0.00437,-0.0577,0.9444,0.0658
-6.750,-0.4910,0.00974,0.00411,-0.0574,0.9385,0.0714
-6.500,-0.4648,0.00953,0.00390,-0.0570,0.9308,0.0765
-6.250,-0.4379,0.00930,0.00368,-0.0567,0.9241,0.0826
-6.000,-0.4114,0.00908,0.00348,-0.0563,0.9160,0.0895
-5.750,-0.3843,0.00890,0.00329,-0.0560,0.9082,0.0964
-5.500,-0.3574,0.00869,0.00311,-0.0558,0.8996,0.1052
-5.250,-0.3303,0.00850,0.00293,-0.0555,0.8909,0.1145
-5.000,-0.3031,0.00832,0.00278,-0.0553,0.8815,0.1248
-4.750,-0.2758,0.00817,0.00262,-0.0550,0.8722,0.1358
-4.500,-0.2483,0.00801,0.00248,-0.0548,0.8617,0.1477
-4.250,-0.2210,0.00785,0.00235,-0.0546,0.8514,0.1620
-4.000,-0.1937,0.00770,0.00223,-0.0544,0.8403,0.1770
-3.750,-0.1661,0.00756,0.00212,-0.0543,0.8288,0.1932
-3.500,-0.1387,0.00744,0.00201,-0.0541,0.8170,0.2105
-3.250,-0.1112,0.00733,0.00192,-0.0539,0.8043,0.2281
-3.000,-0.0837,0.00721,0.00183,-0.0537,0.7913,0.2472
-2.750,-0.0562,0.00711,0.00175,-0.0536,0.7780,0.2670
-2.500,-0.0288,0.00702,0.00168,-0.0534,0.7642,0.2883
-2.250,-0.0015,0.00694,0.00162,-0.0532,0.7497,0.3106
-1.750,0.0536,0.00677,0.00152,-0.0528,0.7200,0.3593
-1.500,0.0810,0.00670,0.00148,-0.0527,0.7051,0.3869
-1.250,0.1081,0.00661,0.00145,-0.0525,0.6899,0.4184
-1.000,0.1351,0.00652,0.00143,-0.0522,0.6746,0.4569
-0.750,0.1620,0.00644,0.00142,-0.0520,0.6591,0.4984
-0.500,0.1889,0.00637,0.00142,-0.0517,0.6435,0.5383
-0.250,0.2161,0.00631,0.00142,-0.0515,0.6282,0.5765
0.000,0.2432,0.00625,0.00144,-0.0512,0.6131,0.6137
0.250,0.2702,0.00622,0.00147,-0.0510,0.5983,0.6508
0.500,0.2972,0.00620,0.00150,-0.0507,0.5840,0.6851
0.750,0.3240,0.00619,0.00154,-0.0503,0.5698,0.7191
1.000,0.3507,0.00618,0.00158,-0.0500,0.5559,0.7535
1.250,0.3775,0.00616,0.00164,-0.0496,0.5428,0.7869
1.500,0.4040,0.00617,0.00171,-0.0491,0.5303,0.8186
1.750,0.4303,0.00620,0.00178,-0.0486,0.5179,0.8493
2.000,0.4563,0.00624,0.00186,-0.0480,0.5052,0.8781
2.250,0.4823,0.00630,0.00195,-0.0473,0.4931,0.9041
2.500,0.5081,0.00639,0.00204,-0.0467,0.4812,0.9262
2.750,0.5347,0.00650,0.00214,-0.0462,0.4691,0.9447
3.000,0.5634,0.00661,0.00223,-0.0461,0.4573,0.9595
3.250,0.5934,0.00675,0.00232,-0.0465,0.4448,0.9709
3.500,0.6256,0.00692,0.00243,-0.0473,0.4312,0.9796
4.000,0.6973,0.00727,0.00266,-0.0508,0.3996,0.9885
4.250,0.7327,0.00747,0.00278,-0.0525,0.3830,0.9926
4.500,0.7713,0.00769,0.00291,-0.0549,0.3636,0.9952
4.750,0.8116,0.00792,0.00306,-0.0577,0.3427,0.9983
5.000,0.8451,0.00815,0.00321,-0.0590,0.3225,1.0000
5.250,0.8660,0.00836,0.00334,-0.0577,0.3049,1.0000
5.500,0.8866,0.00860,0.00349,-0.0563,0.2862,1.0000
5.750,0.9070,0.00887,0.00367,-0.0548,0.2669,1.0000
6.000,0.9274,0.00916,0.00386,-0.0534,0.2477,1.0000
6.250,0.9481,0.00944,0.00405,-0.0520,0.2288,1.0000
6.500,0.9688,0.00975,0.00427,-0.0506,0.2104,1.0000
6.750,0.9896,0.01006,0.00450,-0.0493,0.1931,1.0000
7.000,1.0106,0.01041,0.00475,-0.0481,0.1757,1.0000
7.250,1.0316,0.01078,0.00503,-0.0468,0.1586,1.0000
7.500,1.0532,0.01116,0.00532,-0.0457,0.1434,1.0000
7.750,1.0749,0.01154,0.00563,-0.0447,0.1294,1.0000
8.000,1.0966,0.01192,0.00594,-0.0437,0.1166,1.0000
8.250,1.1184,0.01231,0.00627,-0.0427,0.1053,1.0000
8.500,1.1401,0.01270,0.00661,-0.0417,0.0954,1.0000
8.750,1.1616,0.01310,0.00696,-0.0407,0.0864,1.0000
9.000,1.1828,0.01351,0.00733,-0.0396,0.0786,1.0000
9.250,1.2032,0.01396,0.00773,-0.0385,0.0715,1.0000
9.500,1.2244,0.01435,0.00811,-0.0375,0.0663,1.0000
9.750,1.2446,0.01478,0.00852,-0.0363,0.0614,1.0000
10.000,1.2640,0.01524,0.00896,-0.0350,0.0569,1.0000
10.250,1.2830,0.01565,0.00937,-0.0336,0.0535,1.0000
10.500,1.2998,0.01612,0.00984,-0.0319,0.0503,1.0000
10.750,1.3165,0.01661,0.01033,-0.0302,0.0475,1.0000
11.000,1.3335,0.01709,0.01082,-0.0286,0.0451,1.0000
11.250,1.3477,0.01774,0.01146,-0.0266,0.0424,1.0000
11.500,1.3654,0.01820,0.01197,-0.0253,0.0407,1.0000
11.750,1.3809,0.01881,0.01258,-0.0237,0.0388,1.0000
12.000,1.3935,0.01959,0.01338,-0.0218,0.0369,1.0000
12.250,1.4099,0.02017,0.01400,-0.0204,0.0357,1.0000
12.500,1.4244,0.02088,0.01474,-0.0189,0.0343,1.0000
12.750,1.4365,0.02176,0.01564,-0.0173,0.0330,1.0000
13.000,1.4478,0.02272,0.01664,-0.0156,0.0318,1.0000
13.250,1.4617,0.02354,0.01751,-0.0144,0.0309,1.0000
13.500,1.4738,0.02450,0.01852,-0.0130,0.0298,1.0000
13.750,1.4837,0.02567,0.01971,-0.0116,0.0288,1.0000
14.000,1.4897,0.02717,0.02125,-0.0101,0.0277,1.0000
14.250,1.5016,0.02828,0.02243,-0.0091,0.0271,1.0000
14.500,1.5116,0.02957,0.02378,-0.0081,0.0263,1.0000
14.750,1.5197,0.03106,0.02533,-0.0071,0.0256,1.0000
15.000,1.5256,0.03282,0.02713,-0.0062,0.0250,1.0000
15.250,1.5271,0.03503,0.02940,-0.0053,0.0243,1.0000
15.500,1.5299,0.03723,0.03168,-0.0046,0.0237,1.0000
15.750,1.5359,0.03918,0.03371,-0.0042,0.0233,1.0000
16.000,1.5399,0.04137,0.03598,-0.0039,0.0228,1.0000
16.250,1.5426,0.04378,0.03847,-0.0037,0.0224,1.0000
16.500,1.5437,0.04646,0.04122,-0.0037,0.0220,1.0000
16.750,1.5428,0.04943,0.04426,-0.0038,0.0216,1.0000
17.000,1.5388,0.05286,0.04777,-0.0041,0.0212,1.0000
17.250,1.5312,0.05684,0.05183,-0.0047,0.0209,1.0000
17.500,1.5180,0.06166,0.05676,-0.0057,0.0205,1.0000
17.750,1.5153,0.06519,0.06038,-0.0064,0.0203,1.0000
18.000,1.5119,0.06888,0.06417,-0.0073,0.0200,1.0000
18.250,1.5058,0.07299,0.06838,-0.0084,0.0198,1.0000
18.500,1.4989,0.07728,0.07278,-0.0096,0.0196,1.0000
18.750,1.4897,0.08192,0.07751,-0.0110,0.0193,1.0000
19.000,1.4802,0.08669,0.08238,-0.0125,0.0191,1.0000
19.250,1.4697,0.09170,0.08748,-0.0143,0.0189,1.0000
