Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2418-il-50000
Airfoil,naca2418-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,8.55359
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2418-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.3154,0.11237,0.10410,-0.0195,1.0000,0.4102
-9.250,-0.5654,0.07956,0.07157,-0.0393,1.0000,0.2507
-9.000,-0.6067,0.07477,0.06686,-0.0360,1.0000,0.2494
-8.750,-0.6563,0.06953,0.06165,-0.0321,1.0000,0.2480
-8.500,-0.7067,0.06417,0.05621,-0.0277,1.0000,0.2470
-8.250,-0.7485,0.05916,0.05099,-0.0233,1.0000,0.2475
-8.000,-0.7806,0.05452,0.04597,-0.0192,1.0000,0.2498
-7.750,-0.7682,0.05324,0.04479,-0.0171,1.0000,0.2557
-7.500,-0.7649,0.05145,0.04293,-0.0146,1.0000,0.2618
-7.250,-0.7755,0.04810,0.03914,-0.0118,1.0000,0.2678
-7.000,-0.7648,0.04660,0.03765,-0.0099,1.0000,0.2745
-6.750,-0.7550,0.04522,0.03618,-0.0079,1.0000,0.2827
-6.500,-0.7501,0.04297,0.03360,-0.0061,1.0000,0.2910
-6.250,-0.7338,0.04225,0.03299,-0.0046,1.0000,0.2999
-6.000,-0.7242,0.04044,0.03085,-0.0032,1.0000,0.3102
-5.750,-0.7073,0.03977,0.03029,-0.0018,1.0000,0.3203
-5.500,-0.6935,0.03850,0.02885,-0.0006,1.0000,0.3319
-5.250,-0.6776,0.03768,0.02798,0.0006,1.0000,0.3444
-5.000,-0.6612,0.03697,0.02731,0.0018,1.0000,0.3570
-4.750,-0.6452,0.03611,0.02634,0.0027,1.0000,0.3717
-4.500,-0.6287,0.03545,0.02557,0.0036,1.0000,0.3884
-4.250,-0.6117,0.03511,0.02540,0.0049,1.0000,0.4038
-4.000,-0.5949,0.03473,0.02509,0.0059,1.0000,0.4208
-3.750,-0.5782,0.03442,0.02484,0.0070,1.0000,0.4395
-3.500,-0.5615,0.03419,0.02466,0.0080,1.0000,0.4589
-3.250,-0.5448,0.03406,0.02460,0.0090,1.0000,0.4795
-3.000,-0.5163,0.03422,0.02483,0.0079,0.9957,0.5051
-2.750,-0.4705,0.03475,0.02545,0.0040,0.9835,0.5374
-2.500,-0.4298,0.03525,0.02605,0.0013,0.9712,0.5699
-2.250,-0.3924,0.03568,0.02662,-0.0007,0.9587,0.6024
-2.000,-0.3562,0.03609,0.02708,-0.0025,0.9467,0.6390
-1.750,-0.3175,0.03671,0.02789,-0.0038,0.9352,0.6754
-1.500,-0.2942,0.03698,0.02828,-0.0027,0.9223,0.7103
-1.250,-0.2684,0.03744,0.02885,-0.0018,0.9106,0.7498
-1.000,-0.2312,0.03820,0.02972,-0.0019,0.8998,0.7944
-0.750,-0.2124,0.03871,0.03030,0.0006,0.8872,0.8353
-0.500,-0.1617,0.03989,0.03147,-0.0021,0.8758,0.8811
-0.250,-0.0568,0.04161,0.03305,-0.0149,0.8633,0.9236
0.000,0.0628,0.04302,0.03431,-0.0322,0.8493,0.9552
0.250,0.2010,0.04348,0.03462,-0.0530,0.8369,0.9846
0.500,0.2907,0.04310,0.03416,-0.0660,0.8249,1.0000
0.750,0.2716,0.04344,0.03443,-0.0611,0.8106,1.0000
1.000,0.2894,0.04332,0.03422,-0.0612,0.7999,1.0000
1.250,0.2746,0.04368,0.03451,-0.0565,0.7867,1.0000
1.500,0.2572,0.04422,0.03498,-0.0512,0.7742,1.0000
1.750,0.2915,0.04422,0.03489,-0.0526,0.7642,1.0000
2.000,0.2615,0.04528,0.03585,-0.0455,0.7507,1.0000
2.250,0.2947,0.04556,0.03604,-0.0465,0.7404,1.0000
2.500,0.2893,0.04654,0.03694,-0.0426,0.7275,1.0000
2.750,0.2966,0.04749,0.03780,-0.0404,0.7154,1.0000
3.000,0.3356,0.04769,0.03795,-0.0417,0.7044,1.0000
3.250,0.3254,0.04928,0.03948,-0.0377,0.6908,1.0000
3.500,0.3746,0.04922,0.03938,-0.0398,0.6807,1.0000
3.750,0.3687,0.05089,0.04099,-0.0366,0.6669,1.0000
4.000,0.3784,0.05224,0.04231,-0.0350,0.6546,1.0000
4.250,0.4202,0.05230,0.04235,-0.0360,0.6439,1.0000
4.500,0.4091,0.05465,0.04467,-0.0330,0.6302,1.0000
4.750,0.4556,0.05451,0.04453,-0.0342,0.6204,1.0000
5.000,0.4493,0.05684,0.04684,-0.0318,0.6068,1.0000
5.250,0.4548,0.05880,0.04879,-0.0303,0.5946,1.0000
5.500,0.4972,0.05869,0.04870,-0.0308,0.5842,1.0000
5.750,0.4786,0.06219,0.05218,-0.0284,0.5709,1.0000
6.000,0.5275,0.06167,0.05168,-0.0290,0.5611,1.0000
6.250,0.5078,0.06549,0.05550,-0.0270,0.5481,1.0000
6.500,0.5179,0.06752,0.05754,-0.0261,0.5368,1.0000
6.750,0.5421,0.06855,0.05860,-0.0257,0.5258,1.0000
7.000,0.5288,0.07237,0.06242,-0.0245,0.5145,1.0000
7.250,0.5850,0.07096,0.06105,-0.0244,0.5037,1.0000
7.500,0.5428,0.07720,0.06728,-0.0232,0.4928,1.0000
7.750,0.5920,0.07628,0.06641,-0.0227,0.4813,1.0000
8.000,0.5585,0.08204,0.07217,-0.0221,0.4713,1.0000
8.250,0.5861,0.08287,0.07303,-0.0214,0.4598,1.0000
8.500,0.5758,0.08689,0.07708,-0.0212,0.4500,1.0000
8.750,0.5889,0.08901,0.07923,-0.0206,0.4391,1.0000
9.000,0.5926,0.09197,0.08224,-0.0204,0.4292,1.0000
9.250,0.5944,0.09524,0.08553,-0.0202,0.4195,1.0000
9.500,0.5996,0.09823,0.08856,-0.0201,0.4102,1.0000
9.750,0.6016,0.10165,0.09200,-0.0201,0.4012,1.0000
10.000,0.5897,0.10648,0.09687,-0.0208,0.3953,1.0000
