Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-100000
Airfoil,n6409-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,61.587
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3419,0.11534,0.11101,-0.0253,1.0000,0.0710
-7.750,-0.3605,0.11553,0.11130,-0.0234,1.0000,0.0713
-7.500,-0.3803,0.11566,0.11152,-0.0212,1.0000,0.0715
-7.250,-0.3942,0.11522,0.11116,-0.0216,1.0000,0.0717
-7.000,-0.4029,0.11420,0.11020,-0.0241,1.0000,0.0719
-6.750,-0.3972,0.10789,0.10394,-0.0177,1.0000,0.0729
-6.500,-0.3818,0.10360,0.09964,-0.0157,0.9982,0.0750
-6.250,-0.3565,0.09959,0.09559,-0.0207,0.9917,0.0788
-6.000,-0.3184,0.09657,0.09249,-0.0431,0.9779,0.0854
-5.750,-0.3002,0.09073,0.08666,-0.0438,0.9730,0.0869
-5.500,-0.2835,0.08706,0.08299,-0.0420,0.9667,0.0899
-5.250,-0.2538,0.08310,0.07899,-0.0485,0.9592,0.0954
-5.000,-0.2147,0.07811,0.07385,-0.0648,0.9478,0.1011
-4.750,-0.1923,0.07430,0.07006,-0.0638,0.9437,0.1042
-4.500,-0.1685,0.07120,0.06688,-0.0680,0.9335,0.1111
-4.250,-0.1291,0.06659,0.06216,-0.0761,0.9279,0.1193
-4.000,-0.0862,0.06259,0.05792,-0.0870,0.9180,0.1311
-3.750,-0.0428,0.05990,0.05496,-0.0941,0.9107,0.1448
-3.500,-0.0229,0.05567,0.05081,-0.0942,0.9037,0.1478
-3.250,0.0241,0.05203,0.04700,-0.1007,0.8999,0.1634
-3.000,0.0502,0.04968,0.04453,-0.1028,0.8894,0.1784
-2.750,0.1305,0.04163,0.03534,-0.1169,0.8868,0.1302
-2.500,0.1772,0.03451,0.02741,-0.1216,0.8825,0.0976
-2.250,0.2152,0.03192,0.02414,-0.1237,0.8751,0.0993
-2.000,0.2621,0.02931,0.02109,-0.1271,0.8717,0.1032
-1.750,0.2899,0.02855,0.02009,-0.1271,0.8617,0.1130
-1.500,0.3352,0.02705,0.01835,-0.1298,0.8576,0.1271
-1.250,0.3637,0.02638,0.01754,-0.1298,0.8480,0.1436
-1.000,0.4080,0.02529,0.01645,-0.1324,0.8436,0.1692
-0.750,0.4579,0.02418,0.01532,-0.1358,0.8412,0.2041
-0.500,0.4815,0.02385,0.01506,-0.1350,0.8298,0.2322
-0.250,0.5291,0.02277,0.01408,-0.1380,0.8269,0.2835
0.000,0.5532,0.02237,0.01386,-0.1371,0.8159,0.3328
0.250,0.6039,0.01980,0.01294,-0.1406,0.8133,1.0000
0.500,0.6312,0.01992,0.01272,-0.1401,0.8027,1.0000
0.750,0.6748,0.01948,0.01202,-0.1423,0.7982,1.0000
1.000,0.6997,0.01964,0.01204,-0.1416,0.7871,1.0000
