Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-1000000
Airfoil,n6409-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,150.987
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.1128,0.08228,0.08057,-0.0891,0.9737,0.0150
-8.500,-0.0962,0.07788,0.07617,-0.0942,0.9717,0.0150
-7.500,-0.0938,0.01913,0.01606,-0.1571,0.9150,0.0148
-7.250,-0.0768,0.01594,0.01235,-0.1573,0.9070,0.0153
-7.000,-0.0537,0.01425,0.01038,-0.1574,0.9007,0.0159
-6.750,-0.0287,0.01365,0.00969,-0.1571,0.8943,0.0164
-6.500,-0.0027,0.01308,0.00900,-0.1570,0.8882,0.0169
-6.250,0.0232,0.01248,0.00825,-0.1568,0.8819,0.0176
-6.000,0.0494,0.01206,0.00771,-0.1565,0.8749,0.0183
-5.750,0.0759,0.01160,0.00710,-0.1563,0.8684,0.0188
-5.500,0.1024,0.01126,0.00664,-0.1560,0.8611,0.0191
-5.250,0.1265,0.00988,0.00501,-0.1556,0.8544,0.0201
-5.000,0.1527,0.00949,0.00456,-0.1553,0.8467,0.0209
-4.750,0.1795,0.00920,0.00419,-0.1550,0.8394,0.0218
-4.500,0.2061,0.00895,0.00387,-0.1547,0.8310,0.0228
-4.250,0.2329,0.00872,0.00356,-0.1544,0.8233,0.0236
-4.000,0.2596,0.00851,0.00326,-0.1541,0.8148,0.0241
-3.750,0.2855,0.00800,0.00265,-0.1537,0.8065,0.0257
-3.500,0.3120,0.00781,0.00240,-0.1534,0.7975,0.0273
-3.250,0.3388,0.00766,0.00220,-0.1531,0.7878,0.0290
-3.000,0.3655,0.00757,0.00204,-0.1527,0.7784,0.0307
-2.750,0.3917,0.00736,0.00178,-0.1523,0.7685,0.0353
-2.500,0.4184,0.00723,0.00162,-0.1520,0.7585,0.0410
-2.250,0.4448,0.00716,0.00152,-0.1516,0.7481,0.0488
-2.000,0.4709,0.00710,0.00144,-0.1512,0.7370,0.0585
-1.750,0.4972,0.00704,0.00137,-0.1508,0.7254,0.0692
-1.500,0.5236,0.00700,0.00132,-0.1504,0.7141,0.0800
-1.250,0.5497,0.00698,0.00127,-0.1500,0.7025,0.0918
-1.000,0.5756,0.00697,0.00125,-0.1496,0.6904,0.1065
-0.750,0.6014,0.00697,0.00124,-0.1491,0.6777,0.1245
-0.500,0.6273,0.00698,0.00124,-0.1487,0.6649,0.1449
-0.250,0.6532,0.00697,0.00126,-0.1483,0.6522,0.1678
0.000,0.6790,0.00700,0.00128,-0.1479,0.6394,0.1905
0.250,0.7047,0.00702,0.00132,-0.1474,0.6267,0.2167
0.500,0.7302,0.00705,0.00136,-0.1470,0.6144,0.2467
0.750,0.7556,0.00709,0.00142,-0.1465,0.6020,0.2795
1.000,0.7810,0.00710,0.00149,-0.1460,0.5899,0.3263
1.250,0.8058,0.00693,0.00158,-0.1456,0.5787,0.4537
1.500,0.8374,0.00603,0.00179,-0.1467,0.5679,1.0000
1.750,0.8626,0.00617,0.00185,-0.1461,0.5577,1.0000
2.000,0.8884,0.00629,0.00192,-0.1457,0.5478,1.0000
2.250,0.9141,0.00642,0.00199,-0.1452,0.5392,1.0000
2.500,0.9394,0.00656,0.00208,-0.1447,0.5305,1.0000
2.750,0.9653,0.00667,0.00216,-0.1443,0.5230,1.0000
3.000,0.9905,0.00682,0.00226,-0.1438,0.5154,1.0000
3.250,1.0165,0.00693,0.00236,-0.1435,0.5088,1.0000
3.500,1.0418,0.00707,0.00247,-0.1430,0.5020,1.0000
3.750,1.0673,0.00720,0.00258,-0.1426,0.4960,1.0000
4.000,1.0930,0.00733,0.00270,-0.1421,0.4899,1.0000
