Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-200000
Airfoil,n0009sm-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,45.6492
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.6705,0.10051,0.09687,-0.0078,1.0000,0.0395
-11.000,-0.8444,0.05643,0.05235,-0.0377,1.0000,0.0238
-10.750,-0.8669,0.05254,0.04826,-0.0367,1.0000,0.0238
-10.500,-0.8878,0.04930,0.04480,-0.0333,1.0000,0.0237
-10.250,-0.9017,0.04588,0.04116,-0.0304,1.0000,0.0241
-10.000,-0.9029,0.04358,0.03873,-0.0281,1.0000,0.0249
-9.750,-0.8815,0.04456,0.03985,-0.0273,1.0000,0.0274
-9.500,-0.8837,0.04164,0.03661,-0.0246,1.0000,0.0289
-9.250,-0.8850,0.03833,0.03285,-0.0215,1.0000,0.0303
-9.000,-0.8811,0.03557,0.02961,-0.0184,1.0000,0.0316
-8.750,-0.8795,0.03141,0.02493,-0.0152,1.0000,0.0330
-8.500,-0.8645,0.03018,0.02371,-0.0138,1.0000,0.0359
-8.250,-0.8480,0.02934,0.02267,-0.0121,1.0000,0.0398
-8.000,-0.8321,0.02811,0.02102,-0.0097,1.0000,0.0427
-7.750,-0.8178,0.02512,0.01786,-0.0080,1.0000,0.0462
-7.500,-0.7988,0.02453,0.01719,-0.0066,1.0000,0.0508
-7.250,-0.7791,0.02385,0.01622,-0.0049,1.0000,0.0546
-7.000,-0.7603,0.02185,0.01416,-0.0036,1.0000,0.0590
-6.750,-0.7396,0.02103,0.01325,-0.0023,1.0000,0.0633
-6.500,-0.7182,0.02027,0.01226,-0.0009,1.0000,0.0670
-6.250,-0.6978,0.01882,0.01079,0.0004,1.0000,0.0714
-6.000,-0.6767,0.01799,0.00994,0.0017,1.0000,0.0756
-5.750,-0.6552,0.01729,0.00912,0.0031,1.0000,0.0799
-5.500,-0.6358,0.01626,0.00814,0.0046,1.0000,0.0853
-5.250,-0.6153,0.01568,0.00753,0.0061,1.0000,0.0920
-5.000,-0.5963,0.01486,0.00673,0.0078,1.0000,0.0990
-4.750,-0.5763,0.01429,0.00614,0.0093,1.0000,0.1085
-4.500,-0.5576,0.01361,0.00555,0.0111,1.0000,0.1227
-4.250,-0.5393,0.01291,0.00502,0.0128,1.0000,0.1497
-4.000,-0.5231,0.01198,0.00454,0.0148,1.0000,0.2201
-3.750,-0.5067,0.01124,0.00425,0.0167,1.0000,0.3124
-3.500,-0.4890,0.01074,0.00404,0.0185,1.0000,0.3876
