Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0021-il-100000
Airfoil,naca0021-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,36.5904
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0021-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.250,-0.5418,0.17959,0.17300,-0.0051,1.0000,0.1943
-16.000,-0.5218,0.17458,0.16798,-0.0056,1.0000,0.1957
-15.750,-1.0757,0.06945,0.06174,-0.0558,1.0000,0.1532
-15.000,-1.0716,0.06221,0.05443,-0.0551,1.0000,0.1626
-14.750,-1.1181,0.05655,0.04843,-0.0539,1.0000,0.1642
-14.500,-1.1584,0.05230,0.04383,-0.0512,1.0000,0.1659
-14.250,-1.1225,0.05198,0.04374,-0.0516,1.0000,0.1705
-14.000,-1.1217,0.05028,0.04198,-0.0501,1.0000,0.1742
-13.750,-1.1410,0.04769,0.03917,-0.0471,1.0000,0.1773
-13.500,-1.1689,0.04524,0.03640,-0.0425,1.0000,0.1797
-13.250,-1.1295,0.04478,0.03622,-0.0438,1.0000,0.1853
-13.000,-1.1311,0.04343,0.03479,-0.0411,1.0000,0.1894
-12.750,-1.1495,0.04176,0.03290,-0.0361,1.0000,0.1928
-12.500,-1.1393,0.04058,0.03175,-0.0342,1.0000,0.1974
-12.250,-1.1243,0.03993,0.03119,-0.0327,1.0000,0.2025
-12.000,-1.1374,0.03889,0.03002,-0.0271,1.0000,0.2064
-11.750,-1.1599,0.03782,0.02870,-0.0199,1.0000,0.2097
-11.500,-1.1248,0.03722,0.02841,-0.0211,1.0000,0.2162
-11.250,-1.1280,0.03641,0.02754,-0.0166,1.0000,0.2212
-11.000,-1.1446,0.03548,0.02634,-0.0100,1.0000,0.2255
-10.750,-1.1160,0.03489,0.02605,-0.0102,1.0000,0.2321
-10.500,-1.1166,0.03422,0.02531,-0.0059,1.0000,0.2379
-10.250,-1.1202,0.03336,0.02431,-0.0011,1.0000,0.2434
-10.000,-1.1022,0.03292,0.02408,0.0004,1.0000,0.2500
-9.750,-1.1033,0.03226,0.02330,0.0049,1.0000,0.2565
-9.500,-1.0943,0.03159,0.02268,0.0077,1.0000,0.2630
-9.250,-1.0843,0.03117,0.02232,0.0105,1.0000,0.2701
-9.000,-1.0869,0.03049,0.02143,0.0152,1.0000,0.2772
-8.750,-1.0682,0.03009,0.02126,0.0165,1.0000,0.2846
-8.500,-1.0638,0.02958,0.02066,0.0201,1.0000,0.2927
-8.250,-1.0510,0.02910,0.02027,0.0223,1.0000,0.3003
-8.000,-1.0410,0.02874,0.01992,0.0250,1.0000,0.3089
-7.750,-1.0310,0.02826,0.01942,0.0276,1.0000,0.3173
-7.500,-1.0177,0.02799,0.01923,0.0297,1.0000,0.3261
-7.250,-1.0080,0.02755,0.01873,0.0322,1.0000,0.3354
-7.000,-0.9930,0.02735,0.01865,0.0340,1.0000,0.3444
-6.750,-0.9825,0.02698,0.01820,0.0363,1.0000,0.3544
-6.500,-0.9668,0.02682,0.01818,0.0379,1.0000,0.3638
-6.250,-0.9284,0.02666,0.01804,0.0351,0.9937,0.3776
-6.000,-0.8880,0.02654,0.01784,0.0320,0.9848,0.3929
-5.750,-0.8396,0.02658,0.01805,0.0277,0.9774,0.4074
-5.500,-0.8021,0.02640,0.01794,0.0254,0.9671,0.4209
-5.250,-0.7628,0.02623,0.01776,0.0227,0.9576,0.4362
-5.000,-0.7209,0.02613,0.01771,0.0198,0.9483,0.4515
-4.750,-0.6844,0.02600,0.01771,0.0180,0.9377,0.4647
-4.500,-0.6395,0.02580,0.01754,0.0147,0.9295,0.4805
-4.250,-0.6102,0.02564,0.01736,0.0142,0.9173,0.4952
-4.000,-0.5600,0.02548,0.01736,0.0103,0.9104,0.5102
-3.750,-0.5318,0.02530,0.01722,0.0102,0.8979,0.5237
-3.500,-0.4845,0.02500,0.01692,0.0068,0.8909,0.5408
-3.250,-0.4524,0.02493,0.01698,0.0063,0.8789,0.5538
-3.000,-0.4038,0.02461,0.01674,0.0029,0.8719,0.5695
-2.750,-0.3715,0.02434,0.01647,0.0024,0.8613,0.5850
-2.500,-0.3309,0.02410,0.01632,0.0008,0.8520,0.5996
-2.250,-0.2802,0.02367,0.01597,-0.0024,0.8468,0.6147
-2.000,-0.2618,0.02352,0.01582,-0.0004,0.8315,0.6290
-1.750,-0.2139,0.02312,0.01549,-0.0028,0.8255,0.6439
-1.500,-0.1906,0.02308,0.01553,-0.0014,0.8104,0.6565
-1.250,-0.1507,0.02259,0.01501,-0.0025,0.8034,0.6726
-0.750,-0.0906,0.02245,0.01497,-0.0015,0.7776,0.6986
-0.500,-0.0653,0.02229,0.01480,-0.0003,0.7643,0.7139
-0.250,-0.0304,0.02238,0.01495,-0.0005,0.7513,0.7249
0.000,0.0000,0.02216,0.01468,0.0000,0.7398,0.7398
0.250,0.0304,0.02238,0.01495,0.0005,0.7249,0.7513
0.500,0.0653,0.02229,0.01480,0.0003,0.7139,0.7643
0.750,0.0906,0.02245,0.01496,0.0015,0.6986,0.7776
1.250,0.1507,0.02260,0.01501,0.0025,0.6726,0.8034
1.500,0.1906,0.02308,0.01553,0.0014,0.6565,0.8104
1.750,0.2139,0.02312,0.01549,0.0028,0.6439,0.8255
2.000,0.2618,0.02352,0.01582,0.0004,0.6290,0.8315
2.250,0.2802,0.02366,0.01597,0.0024,0.6147,0.8468
2.500,0.3309,0.02410,0.01632,-0.0008,0.5996,0.8520
2.750,0.3713,0.02434,0.01646,-0.0024,0.5850,0.8614
3.000,0.4037,0.02461,0.01674,-0.0029,0.5695,0.8719
3.250,0.4523,0.02492,0.01698,-0.0063,0.5538,0.8789
3.500,0.4844,0.02500,0.01692,-0.0067,0.5408,0.8909
3.750,0.5316,0.02530,0.01722,-0.0102,0.5237,0.8979
4.000,0.5600,0.02548,0.01735,-0.0103,0.5102,0.9105
4.250,0.6101,0.02563,0.01735,-0.0142,0.4952,0.9174
4.500,0.6395,0.02580,0.01754,-0.0147,0.4805,0.9296
4.750,0.6843,0.02599,0.01771,-0.0180,0.4647,0.9378
5.000,0.7209,0.02612,0.01770,-0.0198,0.4515,0.9484
5.250,0.7627,0.02622,0.01775,-0.0227,0.4362,0.9578
5.500,0.8021,0.02639,0.01793,-0.0254,0.4210,0.9672
5.750,0.8394,0.02657,0.01804,-0.0277,0.4075,0.9776
6.000,0.8879,0.02653,0.01783,-0.0320,0.3929,0.9849
6.250,0.9285,0.02665,0.01803,-0.0351,0.3776,0.9938
6.500,0.9665,0.02681,0.01817,-0.0379,0.3639,1.0000
6.750,0.9822,0.02697,0.01819,-0.0363,0.3545,1.0000
7.000,0.9927,0.02734,0.01864,-0.0340,0.3445,1.0000
7.250,1.0077,0.02754,0.01872,-0.0322,0.3354,1.0000
7.500,1.0174,0.02798,0.01922,-0.0296,0.3261,1.0000
7.750,1.0308,0.02825,0.01941,-0.0275,0.3173,1.0000
