Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0024-il-200000
Airfoil,naca0024-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,42.9942
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0024-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.2026,0.08451,0.07774,-0.0536,1.0000,0.1207
-19.500,-1.1773,0.08485,0.07824,-0.0531,1.0000,0.1228
-19.250,-1.1728,0.08250,0.07588,-0.0538,1.0000,0.1250
-19.000,-1.1838,0.07823,0.07147,-0.0552,1.0000,0.1272
-18.750,-1.2059,0.07277,0.06576,-0.0568,1.0000,0.1293
-18.500,-1.1994,0.07079,0.06378,-0.0570,1.0000,0.1316
-18.250,-1.1860,0.06961,0.06267,-0.0571,1.0000,0.1339
-18.000,-1.1845,0.06706,0.06008,-0.0575,1.0000,0.1364
-17.750,-1.1934,0.06344,0.05630,-0.0582,1.0000,0.1389
-17.500,-1.2041,0.05978,0.05245,-0.0587,1.0000,0.1412
-17.250,-1.1847,0.05922,0.05203,-0.0584,1.0000,0.1439
-17.000,-1.1786,0.05734,0.05015,-0.0584,1.0000,0.1466
-16.750,-1.1804,0.05473,0.04744,-0.0585,1.0000,0.1494
-16.500,-1.1905,0.05150,0.04399,-0.0584,1.0000,0.1519
-16.250,-1.1721,0.05078,0.04341,-0.0580,1.0000,0.1550
-16.000,-1.1645,0.04922,0.04186,-0.0577,1.0000,0.1580
-15.750,-1.1632,0.04716,0.03972,-0.0573,1.0000,0.1612
-15.500,-1.1694,0.04464,0.03700,-0.0566,1.0000,0.1640
-15.250,-1.1514,0.04388,0.03638,-0.0561,1.0000,0.1675
-15.000,-1.1440,0.04250,0.03501,-0.0554,1.0000,0.1708
-14.750,-1.1420,0.04078,0.03321,-0.0545,1.0000,0.1743
-14.500,-1.1415,0.03904,0.03134,-0.0532,1.0000,0.1777
-14.250,-1.1265,0.03820,0.03062,-0.0525,1.0000,0.1813
-14.000,-1.1203,0.03698,0.02940,-0.0513,1.0000,0.1851
-13.750,-1.1193,0.03556,0.02787,-0.0496,1.0000,0.1889
-13.500,-1.1104,0.03451,0.02684,-0.0481,1.0000,0.1928
-13.250,-1.1021,0.03361,0.02600,-0.0465,1.0000,0.1966
-13.000,-1.0993,0.03261,0.02496,-0.0443,1.0000,0.2007
-12.750,-1.1029,0.03154,0.02376,-0.0412,1.0000,0.2045
-12.500,-1.0909,0.03087,0.02323,-0.0394,1.0000,0.2088
-12.250,-1.0888,0.03016,0.02254,-0.0364,1.0000,0.2127
-12.000,-1.0916,0.02945,0.02178,-0.0327,1.0000,0.2169
-11.750,-1.0954,0.02879,0.02106,-0.0286,1.0000,0.2208
-11.500,-1.0918,0.02829,0.02067,-0.0253,1.0000,0.2248
-11.250,-1.0971,0.02784,0.02023,-0.0206,1.0000,0.2287
-11.000,-1.1065,0.02742,0.01976,-0.0153,1.0000,0.2326
-10.750,-1.1174,0.02704,0.01930,-0.0096,1.0000,0.2362
-10.500,-1.1189,0.02666,0.01904,-0.0053,1.0000,0.2402
-10.250,-1.1294,0.02640,0.01879,0.0004,1.0000,0.2438
-10.000,-1.1149,0.02596,0.01827,0.0016,0.9966,0.2499
-9.750,-1.0804,0.02541,0.01780,-0.0007,0.9922,0.2570
-9.500,-1.0517,0.02496,0.01733,-0.0019,0.9861,0.2642
-9.250,-1.0195,0.02444,0.01681,-0.0036,0.9802,0.2717
-9.000,-0.9827,0.02402,0.01643,-0.0061,0.9762,0.2797
-8.750,-0.9590,0.02358,0.01590,-0.0060,0.9670,0.2871
-8.500,-0.9197,0.02305,0.01551,-0.0088,0.9625,0.2953
-8.250,-0.8881,0.02263,0.01500,-0.0101,0.9561,0.3038
-8.000,-0.8549,0.02210,0.01461,-0.0115,0.9488,0.3117
-7.750,-0.8158,0.02163,0.01409,-0.0141,0.9443,0.3212
-7.500,-0.7698,0.02103,0.01360,-0.0180,0.9420,0.3305
-7.250,-0.7497,0.02073,0.01327,-0.0167,0.9305,0.3385
-7.000,-0.7109,0.02018,0.01277,-0.0190,0.9258,0.3476
-6.750,-0.6721,0.01970,0.01230,-0.0212,0.9220,0.3573
-6.500,-0.6547,0.01940,0.01199,-0.0192,0.9091,0.3651
-6.250,-0.6199,0.01893,0.01160,-0.0204,0.9036,0.3743
-5.750,-0.5699,0.01823,0.01094,-0.0190,0.8842,0.3916
-5.500,-0.5468,0.01797,0.01062,-0.0179,0.8745,0.4008
-5.250,-0.5211,0.01761,0.01033,-0.0172,0.8639,0.4093
-5.000,-0.4948,0.01732,0.01002,-0.0167,0.8552,0.4187
-4.750,-0.4731,0.01708,0.00977,-0.0153,0.8425,0.4274
-4.500,-0.4451,0.01679,0.00950,-0.0150,0.8336,0.4366
-4.250,-0.4258,0.01665,0.00928,-0.0131,0.8200,0.4459
-4.000,-0.3965,0.01635,0.00906,-0.0131,0.8105,0.4550
-3.750,-0.3759,0.01624,0.00890,-0.0115,0.7969,0.4647
-3.500,-0.3481,0.01600,0.00868,-0.0112,0.7864,0.4739
-3.250,-0.3258,0.01589,0.00856,-0.0099,0.7731,0.4838
-3.000,-0.2996,0.01572,0.00836,-0.0094,0.7621,0.4935
-2.750,-0.2757,0.01561,0.00828,-0.0084,0.7490,0.5032
-2.500,-0.2509,0.01551,0.00810,-0.0076,0.7376,0.5135
-2.250,-0.2256,0.01539,0.00804,-0.0068,0.7249,0.5232
-2.000,-0.2020,0.01535,0.00789,-0.0058,0.7133,0.5340
-1.750,-0.1754,0.01523,0.00785,-0.0053,0.7009,0.5436
-1.500,-0.1516,0.01521,0.00775,-0.0043,0.6893,0.5548
-1.250,-0.1253,0.01510,0.00771,-0.0038,0.6771,0.5646
-1.000,-0.1010,0.01510,0.00765,-0.0029,0.6657,0.5760
-0.750,-0.0751,0.01503,0.00761,-0.0023,0.6538,0.5861
-0.500,-0.0505,0.01504,0.00759,-0.0014,0.6425,0.5977
-0.250,-0.0250,0.01499,0.00757,-0.0008,0.6308,0.6082
0.000,0.0000,0.01502,0.00757,0.0000,0.6198,0.6198
0.250,0.0251,0.01499,0.00757,0.0008,0.6082,0.6308
0.500,0.0505,0.01504,0.00759,0.0014,0.5977,0.6425
0.750,0.0751,0.01503,0.00761,0.0023,0.5861,0.6538
1.000,0.1011,0.01510,0.00765,0.0029,0.5760,0.6657
1.250,0.1253,0.01510,0.00771,0.0038,0.5646,0.6771
1.500,0.1517,0.01521,0.00775,0.0043,0.5548,0.6893
1.750,0.1755,0.01523,0.00785,0.0053,0.5436,0.7009
2.000,0.2020,0.01535,0.00789,0.0058,0.5340,0.7133
2.250,0.2257,0.01539,0.00804,0.0068,0.5231,0.7249
2.500,0.2509,0.01551,0.00810,0.0075,0.5135,0.7376
2.750,0.2758,0.01561,0.00827,0.0083,0.5032,0.7490
3.000,0.2996,0.01572,0.00836,0.0093,0.4935,0.7621
3.250,0.3259,0.01589,0.00856,0.0099,0.4838,0.7731
3.500,0.3481,0.01600,0.00868,0.0112,0.4739,0.7864
3.750,0.3760,0.01624,0.00890,0.0115,0.4647,0.7969
4.000,0.3966,0.01635,0.00906,0.0131,0.4549,0.8105
4.250,0.4259,0.01665,0.00928,0.0131,0.4459,0.8200
4.500,0.4452,0.01679,0.00950,0.0149,0.4366,0.8337
4.750,0.4732,0.01708,0.00977,0.0152,0.4274,0.8425
5.000,0.4949,0.01732,0.01002,0.0166,0.4187,0.8552
5.250,0.5212,0.01761,0.01033,0.0172,0.4093,0.8639
5.500,0.5469,0.01797,0.01062,0.0179,0.4008,0.8745
5.750,0.5700,0.01823,0.01094,0.0190,0.3916,0.8842
6.250,0.6201,0.01892,0.01160,0.0204,0.3743,0.9036
6.500,0.6548,0.01940,0.01199,0.0191,0.3651,0.9092
6.750,0.6723,0.01969,0.01230,0.0211,0.3573,0.9220
7.000,0.7111,0.02017,0.01276,0.0190,0.3476,0.9258
7.250,0.7499,0.02072,0.01327,0.0167,0.3384,0.9305
7.500,0.7701,0.02103,0.01359,0.0180,0.3304,0.9420
7.750,0.8161,0.02162,0.01408,0.0141,0.3212,0.9444
8.000,0.8552,0.02210,0.01460,0.0115,0.3117,0.9489
8.250,0.8881,0.02262,0.01499,0.0101,0.3038,0.9563
8.500,0.9202,0.02304,0.01550,0.0087,0.2952,0.9626
8.750,0.9595,0.02357,0.01589,0.0059,0.2870,0.9670
9.000,0.9833,0.02401,0.01642,0.0060,0.2797,0.9762
9.250,1.0202,0.02444,0.01680,0.0035,0.2717,0.9802
9.500,1.0524,0.02495,0.01732,0.0018,0.2642,0.9862
9.750,1.0813,0.02539,0.01778,0.0006,0.2569,0.9923
10.000,1.1157,0.02595,0.01826,-0.0017,0.2498,0.9967
10.250,1.1295,0.02638,0.01876,-0.0004,0.2438,1.0000
10.500,1.1190,0.02664,0.01902,0.0053,0.2402,1.0000
10.750,1.1174,0.02701,0.01928,0.0096,0.2362,1.0000
11.000,1.1066,0.02740,0.01973,0.0153,0.2326,1.0000
11.250,1.0972,0.02781,0.02020,0.0206,0.2287,1.0000
11.500,1.0919,0.02826,0.02064,0.0253,0.2248,1.0000
11.750,1.0956,0.02876,0.02102,0.0285,0.2208,1.0000
12.000,1.0919,0.02942,0.02174,0.0327,0.2169,1.0000
12.250,1.0892,0.03013,0.02250,0.0364,0.2127,1.0000
12.500,1.0914,0.03084,0.02319,0.0393,0.2087,1.0000
12.750,1.1034,0.03151,0.02372,0.0411,0.2045,1.0000
13.000,1.1001,0.03257,0.02492,0.0442,0.2007,1.0000
13.250,1.1030,0.03358,0.02596,0.0464,0.1965,1.0000
13.500,1.1117,0.03447,0.02679,0.0480,0.1927,1.0000
13.750,1.1204,0.03554,0.02784,0.0494,0.1888,1.0000
14.000,1.1216,0.03695,0.02936,0.0511,0.1850,1.0000
14.250,1.1281,0.03816,0.03058,0.0523,0.1812,1.0000
14.500,1.1437,0.03898,0.03127,0.0530,0.1775,1.0000
14.750,1.1436,0.04076,0.03318,0.0542,0.1742,1.0000
15.000,1.1458,0.04246,0.03497,0.0551,0.1707,1.0000
15.250,1.1536,0.04382,0.03632,0.0558,0.1674,1.0000
15.500,1.1710,0.04464,0.03700,0.0563,0.1640,1.0000
15.750,1.1652,0.04713,0.03969,0.0570,0.1611,1.0000
16.000,1.1668,0.04917,0.04181,0.0574,0.1579,1.0000
16.250,1.1747,0.05071,0.04333,0.0577,0.1549,1.0000
16.500,1.1924,0.05151,0.04400,0.0580,0.1519,1.0000
16.750,1.1827,0.05471,0.04741,0.0581,0.1493,1.0000
17.000,1.1814,0.05728,0.05008,0.0580,0.1465,1.0000
17.250,1.1878,0.05912,0.05192,0.0580,0.1438,1.0000
17.500,1.2089,0.05954,0.05218,0.0584,0.1410,1.0000
17.750,1.1958,0.06344,0.05630,0.0578,0.1388,1.0000
18.000,1.1876,0.06700,0.06001,0.0571,0.1363,1.0000
18.250,1.1896,0.06949,0.06254,0.0567,0.1338,1.0000
18.500,1.2036,0.07060,0.06358,0.0566,0.1315,1.0000
18.750,1.2081,0.07283,0.06583,0.0564,0.1292,1.0000
19.000,1.1868,0.07821,0.07145,0.0547,0.1271,1.0000
19.250,1.1767,0.08238,0.07575,0.0534,0.1249,1.0000
