Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2424-il-200000
Airfoil,naca2424-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,49.0478
Max Cl/Cd alpha,8.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2424-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.000,-0.9993,0.07899,0.07268,-0.0871,1.0000,0.1125
-18.750,-0.9805,0.07891,0.07271,-0.0862,1.0000,0.1141
-18.500,-0.9880,0.07569,0.06943,-0.0868,1.0000,0.1157
-18.250,-1.0141,0.07050,0.06407,-0.0880,1.0000,0.1175
-18.000,-1.0417,0.06550,0.05885,-0.0888,1.0000,0.1188
-17.750,-1.0725,0.06068,0.05377,-0.0891,1.0000,0.1201
-17.500,-1.0564,0.06008,0.05327,-0.0881,1.0000,0.1219
-17.250,-1.0455,0.05922,0.05249,-0.0872,1.0000,0.1237
-17.000,-1.0475,0.05726,0.05050,-0.0864,1.0000,0.1254
-16.750,-1.0588,0.05466,0.04780,-0.0855,1.0000,0.1272
-16.500,-1.0770,0.05175,0.04471,-0.0842,1.0000,0.1289
-16.250,-1.0931,0.04920,0.04199,-0.0825,1.0000,0.1304
-16.000,-1.0763,0.04882,0.04176,-0.0812,1.0000,0.1325
-15.750,-1.0740,0.04772,0.04070,-0.0795,1.0000,0.1344
-15.500,-1.0784,0.04627,0.03921,-0.0775,1.0000,0.1363
-15.250,-1.0894,0.04457,0.03742,-0.0750,1.0000,0.1382
-15.000,-1.1054,0.04280,0.03549,-0.0719,1.0000,0.1399
-14.750,-1.1051,0.04174,0.03443,-0.0695,1.0000,0.1419
-14.500,-1.1012,0.04102,0.03378,-0.0672,1.0000,0.1440
-14.250,-1.1040,0.04012,0.03289,-0.0644,1.0000,0.1459
-14.000,-1.1113,0.03909,0.03181,-0.0611,1.0000,0.1480
-13.750,-1.1232,0.03800,0.03061,-0.0572,1.0000,0.1500
-13.500,-1.1390,0.03692,0.02938,-0.0528,1.0000,0.1517
-13.250,-1.1317,0.03631,0.02888,-0.0505,1.0000,0.1542
-13.000,-1.1031,0.03559,0.02820,-0.0525,0.9961,0.1577
-12.750,-1.0807,0.03475,0.02725,-0.0541,0.9917,0.1617
-12.500,-1.0602,0.03374,0.02617,-0.0548,0.9860,0.1653
-12.250,-1.0308,0.03313,0.02564,-0.0564,0.9815,0.1692
-12.000,-1.0033,0.03250,0.02494,-0.0582,0.9781,0.1738
-11.750,-0.9911,0.03158,0.02389,-0.0571,0.9697,0.1774
-11.500,-0.9574,0.03098,0.02342,-0.0591,0.9661,0.1820
-11.250,-0.9373,0.03035,0.02276,-0.0590,0.9597,0.1863
-11.000,-0.9184,0.02965,0.02190,-0.0586,0.9531,0.1909
-10.750,-0.8812,0.02901,0.02141,-0.0611,0.9503,0.1961
-10.500,-0.8672,0.02848,0.02085,-0.0594,0.9416,0.2004
-10.250,-0.8428,0.02784,0.02009,-0.0596,0.9363,0.2059
-10.000,-0.8052,0.02720,0.01958,-0.0620,0.9337,0.2116
-9.750,-0.7969,0.02681,0.01915,-0.0589,0.9235,0.2160
-9.500,-0.7685,0.02617,0.01845,-0.0595,0.9188,0.2220
-9.250,-0.7320,0.02556,0.01792,-0.0615,0.9161,0.2284
-9.000,-0.7239,0.02526,0.01757,-0.0581,0.9059,0.2331
-8.750,-0.6954,0.02464,0.01694,-0.0585,0.9007,0.2393
-8.500,-0.6596,0.02402,0.01638,-0.0601,0.8978,0.2460
-8.250,-0.6267,0.02342,0.01566,-0.0612,0.8954,0.2533
-8.000,-0.6185,0.02311,0.01546,-0.0576,0.8836,0.2582
-7.750,-0.5884,0.02256,0.01493,-0.0580,0.8792,0.2654
-7.500,-0.5501,0.02187,0.01417,-0.0599,0.8765,0.2734
-7.250,-0.5051,0.02117,0.01357,-0.0633,0.8745,0.2819
-7.000,-0.5059,0.02109,0.01344,-0.0577,0.8621,0.2872
-6.750,-0.4665,0.02043,0.01283,-0.0599,0.8575,0.2955
-6.500,-0.4207,0.01983,0.01223,-0.0633,0.8542,0.3052
-6.250,-0.3653,0.01911,0.01154,-0.0688,0.8516,0.3159
-6.000,-0.3667,0.01905,0.01149,-0.0629,0.8384,0.3216
-5.750,-0.3281,0.01858,0.01093,-0.0649,0.8325,0.3314
-5.500,-0.2747,0.01796,0.01041,-0.0699,0.8282,0.3426
-5.250,-0.2770,0.01795,0.01035,-0.0637,0.8149,0.3489
-5.000,-0.2341,0.01744,0.00989,-0.0666,0.8083,0.3595
-4.750,-0.2178,0.01730,0.00972,-0.0641,0.7980,0.3681
-4.500,-0.1922,0.01700,0.00941,-0.0635,0.7884,0.3776
-4.250,-0.1580,0.01672,0.00913,-0.0647,0.7804,0.3883
-4.000,-0.1515,0.01666,0.00901,-0.0602,0.7685,0.3965
-3.750,-0.1090,0.01629,0.00869,-0.0630,0.7609,0.4085
-3.500,-0.1082,0.01631,0.00866,-0.0573,0.7487,0.4169
-3.250,-0.0736,0.01602,0.00842,-0.0585,0.7401,0.4283
-3.000,-0.0642,0.01600,0.00837,-0.0546,0.7292,0.4382
-2.750,-0.0399,0.01581,0.00821,-0.0537,0.7197,0.4494
-2.500,-0.0203,0.01576,0.00812,-0.0519,0.7104,0.4613
-2.250,-0.0053,0.01565,0.00807,-0.0491,0.7001,0.4721
