Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23012-il-1000000
Airfoil,naca23012-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,96.786
Max Cl/Cd alpha,8.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23012-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.250,-1.0627,0.06220,0.05971,-0.0331,1.0000,0.0142
-15.000,-1.0952,0.05313,0.05040,-0.0395,1.0000,0.0142
-14.750,-1.1159,0.04706,0.04411,-0.0428,1.0000,0.0143
-14.500,-1.1291,0.04270,0.03955,-0.0442,1.0000,0.0144
-14.250,-1.1381,0.03932,0.03598,-0.0443,1.0000,0.0145
-14.000,-1.1426,0.03672,0.03321,-0.0434,1.0000,0.0146
-13.750,-1.1428,0.03474,0.03108,-0.0420,1.0000,0.0147
-13.500,-1.1396,0.03320,0.02940,-0.0402,1.0000,0.0148
-13.250,-1.1329,0.03211,0.02819,-0.0382,1.0000,0.0149
-13.000,-1.1469,0.02890,0.02470,-0.0341,1.0000,0.0153
-12.750,-1.1358,0.02770,0.02343,-0.0324,1.0000,0.0155
-12.500,-1.1201,0.02691,0.02259,-0.0310,1.0000,0.0157
-12.250,-1.1035,0.02614,0.02177,-0.0297,1.0000,0.0159
-12.000,-1.0862,0.02534,0.02091,-0.0285,1.0000,0.0162
-11.750,-1.0687,0.02450,0.01998,-0.0272,1.0000,0.0164
-11.500,-1.0507,0.02364,0.01902,-0.0260,1.0000,0.0167
-11.250,-1.0323,0.02278,0.01806,-0.0247,1.0000,0.0170
-11.000,-1.0133,0.02195,0.01712,-0.0235,1.0000,0.0173
-10.750,-0.9938,0.02119,0.01626,-0.0222,1.0000,0.0176
-10.500,-0.9737,0.02056,0.01553,-0.0210,1.0000,0.0178
-10.250,-0.9563,0.01948,0.01431,-0.0194,1.0000,0.0181
-10.000,-0.9394,0.01845,0.01323,-0.0177,1.0000,0.0186
-9.750,-0.9196,0.01797,0.01275,-0.0163,1.0000,0.0190
-9.500,-0.8996,0.01754,0.01229,-0.0149,1.0000,0.0193
-9.250,-0.8801,0.01706,0.01177,-0.0133,1.0000,0.0197
-9.000,-0.8610,0.01657,0.01123,-0.0117,1.0000,0.0200
-8.750,-0.8422,0.01608,0.01069,-0.0099,1.0000,0.0204
-8.500,-0.8235,0.01563,0.01019,-0.0082,1.0000,0.0208
-8.250,-0.8046,0.01523,0.00973,-0.0064,1.0000,0.0211
-8.000,-0.7838,0.01492,0.00938,-0.0050,0.9999,0.0213
-7.750,-0.7532,0.01385,0.00828,-0.0060,0.9983,0.0222
-7.500,-0.7191,0.01344,0.00787,-0.0075,0.9966,0.0228
-7.250,-0.6847,0.01303,0.00744,-0.0089,0.9951,0.0235
-7.000,-0.6502,0.01261,0.00700,-0.0104,0.9935,0.0241
-6.750,-0.6173,0.01223,0.00659,-0.0115,0.9907,0.0247
-6.500,-0.5833,0.01178,0.00611,-0.0128,0.9881,0.0253
-6.250,-0.5491,0.01120,0.00553,-0.0143,0.9859,0.0264
-6.000,-0.5130,0.01088,0.00523,-0.0161,0.9840,0.0274
-5.750,-0.4818,0.01058,0.00492,-0.0167,0.9789,0.0284
-5.500,-0.4498,0.01031,0.00462,-0.0175,0.9736,0.0293
-5.250,-0.4212,0.00985,0.00416,-0.0175,0.9663,0.0307
-5.000,-0.3925,0.00960,0.00391,-0.0175,0.9576,0.0321
-4.750,-0.3660,0.00940,0.00370,-0.0170,0.9458,0.0336
-4.500,-0.3404,0.00914,0.00340,-0.0163,0.9310,0.0355
-4.250,-0.3151,0.00894,0.00318,-0.0154,0.9115,0.0378
