Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23012-il-500000
Airfoil,naca23012-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,77.13
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23012-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.7776,0.05538,0.05236,-0.0376,1.0000,0.0249
-10.500,-0.7894,0.05231,0.04919,-0.0355,1.0000,0.0248
-10.250,-0.8005,0.04833,0.04501,-0.0336,1.0000,0.0246
-10.000,-0.8137,0.04322,0.03958,-0.0310,1.0000,0.0244
-9.750,-0.8319,0.03644,0.03223,-0.0271,1.0000,0.0244
-9.500,-0.8389,0.03138,0.02649,-0.0231,1.0000,0.0249
-9.250,-0.8333,0.02849,0.02316,-0.0200,1.0000,0.0252
-9.000,-0.8213,0.02607,0.02057,-0.0180,1.0000,0.0256
-8.750,-0.8041,0.02503,0.01948,-0.0164,1.0000,0.0260
-8.500,-0.7860,0.02424,0.01865,-0.0148,1.0000,0.0264
-8.250,-0.7685,0.02330,0.01761,-0.0130,1.0000,0.0269
-8.000,-0.7513,0.02232,0.01651,-0.0112,1.0000,0.0276
-7.750,-0.7340,0.02128,0.01530,-0.0092,1.0000,0.0283
-7.500,-0.7164,0.02030,0.01414,-0.0073,1.0000,0.0290
-7.250,-0.6982,0.01957,0.01324,-0.0053,1.0000,0.0294
-7.000,-0.6802,0.01805,0.01167,-0.0037,1.0000,0.0301
-6.750,-0.6614,0.01741,0.01103,-0.0021,1.0000,0.0307
-6.500,-0.6420,0.01689,0.01049,-0.0006,1.0000,0.0314
-6.250,-0.6055,0.01630,0.00986,-0.0025,0.9976,0.0326
-6.000,-0.5683,0.01570,0.00919,-0.0044,0.9952,0.0338
-5.750,-0.5327,0.01480,0.00823,-0.0061,0.9926,0.0349
-5.500,-0.4974,0.01408,0.00756,-0.0078,0.9889,0.0362
-5.250,-0.4597,0.01359,0.00707,-0.0099,0.9858,0.0377
-5.000,-0.4204,0.01318,0.00663,-0.0123,0.9835,0.0397
-4.750,-0.3873,0.01247,0.00594,-0.0135,0.9779,0.0418
-4.500,-0.3491,0.01203,0.00553,-0.0157,0.9741,0.0442
-4.250,-0.3112,0.01168,0.00515,-0.0176,0.9699,0.0468
-4.000,-0.2810,0.01112,0.00464,-0.0181,0.9607,0.0507
-3.750,-0.2495,0.01085,0.00435,-0.0185,0.9495,0.0546
-3.500,-0.2218,0.01038,0.00391,-0.0182,0.9346,0.0598
-3.250,-0.1946,0.01014,0.00363,-0.0177,0.9184,0.0647
-3.000,-0.1688,0.00982,0.00333,-0.0170,0.9022,0.0727
-2.750,-0.1431,0.00956,0.00306,-0.0162,0.8841,0.0825
-2.500,-0.1175,0.00930,0.00281,-0.0154,0.8644,0.0983
-2.250,-0.0970,0.00829,0.00240,-0.0142,0.8439,0.2698
-2.000,-0.0785,0.00727,0.00218,-0.0127,0.8220,0.4948
-1.750,-0.0559,0.00688,0.00209,-0.0114,0.7979,0.5942
-1.500,-0.0320,0.00667,0.00203,-0.0102,0.7742,0.6605
-1.250,-0.0077,0.00654,0.00199,-0.0092,0.7495,0.7156
-1.000,0.0170,0.00648,0.00198,-0.0081,0.7233,0.7600
-0.750,0.0419,0.00647,0.00198,-0.0071,0.6965,0.7985
-0.500,0.0669,0.00650,0.00200,-0.0060,0.6704,0.8330
-0.250,0.0923,0.00657,0.00204,-0.0051,0.6439,0.8610
0.000,0.1175,0.00668,0.00209,-0.0041,0.6163,0.8860
0.250,0.1425,0.00683,0.00216,-0.0030,0.5878,0.9100
0.500,0.1685,0.00703,0.00227,-0.0021,0.5607,0.9308
0.750,0.1960,0.00723,0.00235,-0.0016,0.5331,0.9439
1.000,0.2250,0.00743,0.00242,-0.0017,0.5037,0.9540
1.250,0.2576,0.00765,0.00249,-0.0025,0.4734,0.9609
1.500,0.2901,0.00789,0.00258,-0.0034,0.4446,0.9681
1.750,0.3256,0.00814,0.00267,-0.0050,0.4144,0.9730
2.000,0.3644,0.00840,0.00277,-0.0074,0.3834,0.9761
2.250,0.4007,0.00864,0.00288,-0.0093,0.3562,0.9807
2.500,0.4372,0.00889,0.00299,-0.0112,0.3321,0.9846
2.750,0.4758,0.00912,0.00310,-0.0136,0.3109,0.9874
3.000,0.5130,0.00934,0.00321,-0.0157,0.2936,0.9910
3.250,0.5496,0.00956,0.00335,-0.0177,0.2798,0.9944
3.500,0.5880,0.00974,0.00346,-0.0201,0.2674,0.9969
3.750,0.6260,0.00991,0.00358,-0.0224,0.2574,0.9996
4.250,0.6741,0.01021,0.00382,-0.0212,0.2428,1.0000
4.500,0.6967,0.01039,0.00396,-0.0203,0.2360,1.0000
4.750,0.7194,0.01057,0.00413,-0.0193,0.2303,1.0000
5.000,0.7423,0.01071,0.00427,-0.0184,0.2246,1.0000
5.250,0.7644,0.01095,0.00445,-0.0174,0.2186,1.0000
5.500,0.7872,0.01112,0.00465,-0.0164,0.2137,1.0000
5.750,0.8101,0.01128,0.00482,-0.0155,0.2084,1.0000
6.000,0.8320,0.01155,0.00504,-0.0145,0.2030,1.0000
6.250,0.8549,0.01174,0.00526,-0.0135,0.1983,1.0000
6.500,0.8781,0.01191,0.00545,-0.0126,0.1933,1.0000
6.750,0.9004,0.01218,0.00568,-0.0117,0.1880,1.0000
7.000,0.9234,0.01240,0.00593,-0.0108,0.1832,1.0000
7.250,0.9470,0.01257,0.00613,-0.0100,0.1780,1.0000
7.500,0.9692,0.01287,0.00639,-0.0090,0.1725,1.0000
7.750,0.9927,0.01308,0.00665,-0.0083,0.1678,1.0000
8.000,1.0163,0.01329,0.00688,-0.0076,0.1623,1.0000
8.250,1.0386,0.01364,0.00719,-0.0067,0.1564,1.0000
8.500,1.0632,0.01380,0.00743,-0.0062,0.1509,1.0000
8.750,1.0861,0.01413,0.00772,-0.0054,0.1449,1.0000
9.000,1.1099,0.01439,0.00804,-0.0048,0.1395,1.0000
9.250,1.1332,0.01470,0.00835,-0.0042,0.1332,1.0000
9.500,1.1563,0.01504,0.00871,-0.0036,0.1272,1.0000
9.750,1.1793,0.01539,0.00905,-0.0029,0.1200,1.0000
10.000,1.2021,0.01576,0.00944,-0.0023,0.1132,1.0000
10.250,1.2235,0.01624,0.00990,-0.0015,0.1056,1.0000
10.500,1.2461,0.01662,0.01032,-0.0009,0.0989,1.0000
10.750,1.2668,0.01715,0.01084,0.0000,0.0921,1.0000
11.000,1.2872,0.01769,0.01138,0.0008,0.0850,1.0000
11.250,1.3072,0.01825,0.01197,0.0018,0.0783,1.0000
11.500,1.3255,0.01892,0.01264,0.0029,0.0717,1.0000
11.750,1.3428,0.01964,0.01335,0.0041,0.0653,1.0000
12.000,1.3600,0.02034,0.01409,0.0053,0.0597,1.0000
12.250,1.3742,0.02121,0.01497,0.0068,0.0547,1.0000
12.500,1.3870,0.02203,0.01582,0.0086,0.0502,1.0000
12.750,1.3967,0.02296,0.01680,0.0108,0.0465,1.0000
13.000,1.4054,0.02399,0.01787,0.0128,0.0431,1.0000
13.250,1.4124,0.02518,0.01912,0.0149,0.0403,1.0000
13.500,1.4198,0.02641,0.02042,0.0165,0.0377,1.0000
13.750,1.4206,0.02820,0.02226,0.0183,0.0355,1.0000
14.000,1.4279,0.02964,0.02380,0.0194,0.0336,1.0000
14.250,1.4299,0.03162,0.02586,0.0203,0.0320,1.0000
14.500,1.4241,0.03455,0.02887,0.0208,0.0306,1.0000
14.750,1.4257,0.03701,0.03147,0.0208,0.0295,1.0000
15.000,1.4242,0.04001,0.03459,0.0203,0.0284,1.0000
15.250,1.4190,0.04369,0.03839,0.0192,0.0276,1.0000
15.500,1.4087,0.04829,0.04311,0.0174,0.0270,1.0000
15.750,1.3932,0.05383,0.04877,0.0150,0.0265,1.0000
16.000,1.3730,0.06022,0.05529,0.0121,0.0261,1.0000
16.250,1.3561,0.06625,0.06147,0.0094,0.0258,1.0000
16.500,1.3394,0.07231,0.06767,0.0068,0.0255,1.0000
16.750,1.3211,0.07866,0.07416,0.0040,0.0253,1.0000
17.000,1.3028,0.08512,0.08074,0.0011,0.0251,1.0000
