Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-200000
Airfoil,naca23021-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,49.0917
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.0742,0.09308,0.08699,-0.0569,1.0000,0.0680
-19.500,-1.1017,0.08621,0.07986,-0.0602,1.0000,0.0685
-19.250,-1.1250,0.08024,0.07362,-0.0627,1.0000,0.0690
-19.000,-1.1459,0.07493,0.06803,-0.0647,1.0000,0.0695
-18.750,-1.1603,0.07056,0.06344,-0.0659,1.0000,0.0700
-18.500,-1.1352,0.07021,0.06323,-0.0650,1.0000,0.0711
-18.250,-1.1275,0.06824,0.06125,-0.0651,1.0000,0.0720
-18.000,-1.1256,0.06567,0.05860,-0.0655,1.0000,0.0729
-17.750,-1.1256,0.06295,0.05576,-0.0657,1.0000,0.0738
-17.500,-1.1263,0.06025,0.05291,-0.0659,1.0000,0.0748
-17.250,-1.1290,0.05744,0.04992,-0.0660,1.0000,0.0757
-17.000,-1.1341,0.05461,0.04686,-0.0659,1.0000,0.0765
-16.750,-1.1086,0.05406,0.04648,-0.0652,1.0000,0.0779
-16.500,-1.0967,0.05266,0.04509,-0.0648,1.0000,0.0791
-16.250,-1.0883,0.05097,0.04335,-0.0645,1.0000,0.0803
-16.000,-1.0820,0.04912,0.04140,-0.0640,1.0000,0.0816
-15.750,-1.0777,0.04719,0.03931,-0.0635,1.0000,0.0829
-15.500,-1.0671,0.04567,0.03774,-0.0628,1.0000,0.0843
-15.250,-1.0505,0.04466,0.03682,-0.0622,1.0000,0.0858
-15.000,-1.0390,0.04336,0.03551,-0.0615,1.0000,0.0874
-14.750,-1.0292,0.04194,0.03403,-0.0607,1.0000,0.0891
-14.500,-1.0211,0.04045,0.03241,-0.0598,1.0000,0.0908
-14.250,-1.0068,0.03930,0.03129,-0.0589,1.0000,0.0927
-14.000,-0.9939,0.03818,0.03022,-0.0580,1.0000,0.0947
-13.750,-0.9834,0.03696,0.02898,-0.0570,1.0000,0.0969
-13.500,-0.9743,0.03571,0.02763,-0.0558,1.0000,0.0993
-13.250,-0.9615,0.03459,0.02658,-0.0546,1.0000,0.1018
-13.000,-0.9511,0.03348,0.02551,-0.0532,1.0000,0.1044
-12.750,-0.9423,0.03237,0.02436,-0.0517,1.0000,0.1075
-12.500,-0.9339,0.03125,0.02325,-0.0499,1.0000,0.1108
-12.250,-0.9280,0.03014,0.02221,-0.0478,1.0000,0.1142
-12.000,-0.9230,0.02916,0.02119,-0.0453,1.0000,0.1184
-11.750,-0.9218,0.02807,0.02018,-0.0422,1.0000,0.1224
-11.500,-0.9224,0.02714,0.01928,-0.0387,1.0000,0.1270
-11.250,-0.9253,0.02628,0.01843,-0.0346,1.0000,0.1321
-11.000,-0.9339,0.02545,0.01768,-0.0296,1.0000,0.1368
-10.750,-0.9414,0.02489,0.01708,-0.0243,1.0000,0.1425
-10.500,-0.9580,0.02424,0.01653,-0.0176,1.0000,0.1468
-10.250,-0.9736,0.02383,0.01612,-0.0108,1.0000,0.1521
-10.000,-0.9930,0.02350,0.01580,-0.0032,1.0000,0.1566
-9.750,-1.0072,0.02309,0.01543,0.0035,0.9997,0.1625
-9.500,-0.9761,0.02223,0.01468,0.0018,0.9942,0.1806
-9.250,-0.9467,0.02137,0.01400,0.0004,0.9884,0.2017
-9.000,-0.9156,0.02065,0.01341,-0.0011,0.9816,0.2281
-8.750,-0.8799,0.02004,0.01296,-0.0033,0.9765,0.2573
-8.500,-0.8501,0.01958,0.01255,-0.0041,0.9678,0.2809
-8.250,-0.8099,0.01913,0.01217,-0.0069,0.9629,0.3031
-8.000,-0.7796,0.01878,0.01183,-0.0075,0.9539,0.3204
-7.750,-0.7394,0.01840,0.01145,-0.0100,0.9483,0.3379
-7.500,-0.6941,0.01799,0.01107,-0.0134,0.9451,0.3548
-7.250,-0.6675,0.01765,0.01081,-0.0131,0.9345,0.3673
-7.000,-0.6275,0.01727,0.01045,-0.0154,0.9297,0.3827
-6.750,-0.5936,0.01699,0.01012,-0.0164,0.9231,0.3972
-6.500,-0.5651,0.01667,0.00991,-0.0162,0.9135,0.4096
-6.250,-0.5290,0.01631,0.00956,-0.0175,0.9080,0.4235
